优先级,来源国家,投放地区,idea描述,主推功能点,修改要点及数量,音频风格,视频链接,版权
P0,US/GB,US/GB/英语区,热点·2026夏日神曲 Like a Prayer remix(Josh Fawaz)；火在7秒对口型+夏日氛围，门槛低易传播,文生音乐/音色克隆,文生一首原创夏日dance-pop，或对该曲音色克隆成女声/reggaeton两版；7秒对口型+右侧大字报“一句话生成你的夏日神曲”；做3条不同场景,dance-pop/夏日,https://www.tiktok.com/discover/2026-trending-sound,🟡
P0,US/GB,US/GB/全球,热点·Food Jutsu(咒术回战领域展开手势→变食物的动漫转场，36M+投稿，6月#1)；火在夸张手势+定格揭晓的反差,文生音乐/AI mv,借“摆姿势→定格→揭晓”转场，揭晓“我刚生成的一首歌”，配原创音轨+大字报；绝不出现JJK角色/logo/原声Delirious；做2-3条,原创anime/trap,https://www.tiktok.com/@knoenknen/video/7638161371061865748,🟡
P0,US,US/英语区,"热点·wow,ok演技/反应挑战；火在情绪瞬间反差、秀演技range",文生音乐,口播“普通铃声 vs 我用AI生成的神曲”反差，结尾现场一句话出曲；纯口播无版权；做3条,多风格demo,https://www.tiktok.com/discover/wow-ok-challenge,🟢
P1,US/GB,US/GB,热点·World Cup PRESSURE音频(源自Shearer解说)，FIFA/俱乐部都在用，品牌跑~20x；火在赛事高燃情绪,文生音乐,把PRESSURE能量remix成phonk/orchestral(自生成，不用官方母带)，或文生加油原创曲；蹭氛围不蹭赛事素材；做2条,phonk/orchestral,https://www.tiktok.com/discover/world-cup-edit-audio,🟡
P1,US,US/拉美/英语区,热点·Saxboy Billy The Puerto Rico Song夏日洗脑对口型曲；火在洗脑hook+简单律动,音色克隆,音色克隆成reggaeton/city-pop版，七分相似“夏日男孩”对口型，右侧大字报卖点；做2条,reggaeton/city-pop,https://www.tiktok.com/discover/2026-trending-sound,🟡
P1,US,US/英语区,热点·My Partner/Parent Is A…图文轮播反转(配Meg Myers Desire)；火在前刻板后反转的反差,文生音乐,"“My music is AI-made, but…”反转轮播，背景换Rythmix生成的同情绪原创曲；做2条",dark pop,https://www.tiktok.com/discover/my-partner-is-a-trend,🟢
P1,US/GB,US/GB,热点·Charli XCX Rock Music卡帧glitch剪辑；火在glitch视觉冲击,音色克隆,该曲音色克隆成两个反差音色，左原版右克隆+glitch转场展示“一键换音色”；做2条,双音色对比,https://www.tiktok.com/discover/2026-trending-sound,🟡
P1,US,US/英语区,热点·Ariana Grande hate that i made u love me舞蹈挑战；火在跟跳,AI驱动/音色克隆,AI驱动复刻舞步、背景挂Rythmix生成版本；或副歌音色克隆成male R&B；做2条,R&B,https://www.tiktok.com/discover/dance-trends-2026,🟡
P1,GB,GB/法语区,热点·Copines同步群舞go-to track；火在整齐群舞,AI驱动,AI驱动复刻同步群舞，背景Rythmix生成版本，动作仅借鉴；做2条,upbeat,https://www.tiktok.com/discover/dance-trends-2026,🟡
P2,US,US/英语区,热点·Olivia Rodrigo新专/Drop Dead；火在歌词共鸣、分手自白/歌词轮播,音色克隆,音色克隆成acoustic/orchestral版，歌词轮播+大字报；做2条,acoustic/orchestral,https://www.tiktok.com/discover/trends-june-2026,🟡
P2,US/GB,US/GB,热点·Nirvana Smells Like Teen Spirit因“oh well whatever nevermind”歌词梗翻红；火在随性单镜头,音色克隆,音色克隆成lo-fi/女声版，反差感强；做1-2条,lo-fi,https://www.tiktok.com/discover/2026-trending-sound,🟡
